epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.97096,1.83563,3.585,2.27833,0,0,0,0,0,22.9484,0,0.1,0,0
2,7.09796,1.73351,3.59957,2.12814,0,0,0,0,0,21.3659,0,0.0990098,9.802e-06,9.802e-06
3,10.127,1.00225,3.13268,1.61444,0,0,0,0,0,20.4938,0,0.0980192,1.9208e-05,1.9208e-05
4,13.099,1.01915,2.97896,1.55037,0,0,0,0,0,20.313,0,0.0970282,2.8218e-05,2.8218e-05
5,16.176,0.82136,2.73078,1.36725,0,0,0,0,0,20.8394,0,0.0960368,3.6832e-05,3.6832e-05
6,19.189,0.68801,2.68398,1.31876,0,0,0,0,0,22.1056,0,0.0950451,4.505e-05,4.505e-05
7,22.216,0.68001,2.59712,1.24997,0,0,0,0,0,24.1348,0,0.0940529,5.2872e-05,5.2872e-05
8,25.209,0.81963,2.40831,1.25815,0,0,0,0,0,26.8174,0,0.0930603,6.0298e-05,6.0298e-05
9,28.129,0.7609,2.44069,1.25232,0,0,0,0,0,29.8078,0,0.0920673,6.7328e-05,6.7328e-05
10,31.356,0.6953,2.32982,1.34364,0,0,0,0,0,33.2794,0,0.091074,7.3962e-05,7.3962e-05
11,34.239,0.7149,2.16197,1.20688,0,0,0,0,0,36.3771,0,0.0900802,8.02e-05,8.02e-05
12,37.123,0.53392,1.96186,1.04313,0,0,0,0,0,39.1956,0,0.089086,8.6042e-05,8.6042e-05
13,40.064,0.58235,2.088,1.05822,0,0,0,0,0,41.164,0,0.0880915,9.1488e-05,9.1488e-05
14,42.981,0.59346,2.08361,1.11558,0,0,0,0,0,41.1362,0,0.0870965,9.6538e-05,9.6538e-05
15,46.056,0.64871,1.9245,1.10449,0,0,0,0,0,39.7787,0,0.0861012,0.000101192,0.000101192
16,49.078,0.47254,2.03376,1.11316,0,0,0,0,0,37.2795,0,0.0851054,0.00010545,0.00010545
17,52.166,0.5022,2.07673,1.05761,0,0,0,0,0,34.1019,0,0.0841093,0.000109312,0.000109312
18,55.158,0.52447,1.83319,1.04125,0,0,0,0,0,34.1019,0,0.0831128,0.000112778,0.000112778
19,58.114,0.63888,1.99439,1.17077,0,0,0,0,0,30.3135,0,0.0821158,0.000115848,0.000115848
20,61.151,0.54376,2.04104,1.0872,0,0,0,0,0,30.3135,0,0.0811185,0.000118522,0.000118522
21,64.278,0.49583,1.71037,1.00782,0,0,0,0,0,26.4434,0,0.0801208,0.0001208,0.0001208
22,67.229,0.57278,1.73815,1.03246,0,0,0,0,0,26.4434,0,0.0791227,0.000122682,0.000122682
23,70.26,0.38791,1.9622,1.02792,0,0,0,0,0,22.8475,0,0.0781242,0.000124168,0.000124168
24,73.266,0.4446,1.99986,0.95666,0,0,0,0,0,22.8475,0,0.0771253,0.000125258,0.000125258
25,76.379,0.46046,1.90048,1.0006,0,0,0,0,0,19.7624,0,0.076126,0.000125952,0.000125952
26,79.393,0.41417,1.64959,1.02992,0,0,0,0,0,19.7624,0,0.0751263,0.00012625,0.00012625
27,82.507,0.60501,1.72984,1.05772,0,0,0,0,0,17.3547,0,0.0741262,0.000126152,0.000126152
28,85.609,0.46891,1.66678,1.04541,0,0,0,0,0,17.3547,0,0.0731257,0.000125658,0.000125658
29,88.665,0.58302,1.83157,1.20907,0,0,0,0,0,15.4828,0,0.0721248,0.000124768,0.000124768
30,91.536,0.45067,1.7277,1.04118,0,0,0,0,0,15.4828,0,0.0711235,0.000123482,0.000123482
31,94.643,0.46766,1.71833,1.05518,0,0,0,0,0,13.965,0,0.0701218,0.0001218,0.0001218
32,97.471,0.59732,1.77254,1.01791,0,0,0,0,0,13.965,0,0.0691197,0.000119722,0.000119722
33,100.454,0.39047,1.75613,1.0408,0,0,0,0,0,12.6458,0,0.0681172,0.000117248,0.000117248
34,103.282,0.4406,1.72474,1.03769,0,0,0,0,0,12.6458,0,0.0671144,0.000114378,0.000114378
35,106.205,0.41874,1.65248,0.96436,0,0,0,0,0,11.4943,0,0.0661111,0.000111112,0.000111112
36,109.22,0.39902,1.5367,1.02327,0,0,0,0,0,11.4943,0,0.0651075,0.00010745,0.00010745
37,112.14,0.4932,1.60144,1.09755,0,0,0,0,0,10.509,0,0.0641034,0.000103392,0.000103392
38,115.035,0.44081,1.58399,1.02526,0,0,0,0,0,10.509,0,0.0630989,9.8938e-05,9.8938e-05
39,117.914,0.57239,1.6461,1.13212,0,0,0,0,0,9.69347,0,0.0620941,9.4088e-05,9.4088e-05
40,120.764,0.48028,1.58027,0.96246,0,0,0,0,0,9.69347,0,0.0610888,8.8842e-05,8.8842e-05
41,123.628,0.55539,1.87107,1.18543,0,0,0,0,0,8.94324,0,0.0600832,8.32e-05,8.32e-05
42,126.538,0.53298,1.77782,1.22582,0,0,0,0,0,8.94324,0,0.0590772,7.7162e-05,7.7162e-05
43,129.671,0.67484,1.80135,1.41142,0,0,0,0,0,8.23574,0,0.0580707,7.0728e-05,7.0728e-05
44,132.6,0.55281,1.7611,1.26709,0,0,0,0,0,8.23574,0,0.0570639,6.3898e-05,6.3898e-05
45,135.663,0.45559,1.6359,1.07121,0,0,0,0,0,7.57991,0,0.0560567,5.6672e-05,5.6672e-05
46,138.667,0.39986,1.63843,1.01102,0,0,0,0,0,7.57991,0,0.0550491,4.905e-05,4.905e-05
47,141.573,0.38021,1.8304,1.06365,0,0,0,0,0,6.97812,0,0.054041,4.1032e-05,4.1032e-05
48,144.488,0.41616,1.61207,1.15005,0,0,0,0,0,6.97812,0,0.0530326,3.2618e-05,3.2618e-05
49,147.542,0.56883,1.56144,1.19576,0,0,0,0,0,6.44414,0,0.0520238,2.3808e-05,2.3808e-05
50,150.459,0.39645,1.62226,1.03157,0,0,0,0,0,6.44414,0,0.0510146,1.4602e-05,1.4602e-05
1,3.28396,1.83563,3.585,2.27833,0.00173,0.66667,0.06598,0.02723,1.20094,3.90798,2.31434,0.1,0,0
2,6.50396,1.73351,3.59957,2.12814,0.00177,0.66667,0.04457,0.01864,1.10408,3.78931,2.17725,0.0990098,9.802e-06,9.802e-06
3,9.52796,1.00225,3.13268,1.61444,0.00181,0.66667,0.03501,0.01949,1.19131,3.70045,2.21284,0.0980192,1.9208e-05,1.9208e-05
4,12.466,1.01915,2.97896,1.55037,0.00202,0.66667,0.03285,0.01021,1.43252,3.86225,2.43586,0.0970282,2.8218e-05,2.8218e-05
5,15.446,0.82136,2.73078,1.36725,0.00573,0.83333,0.04312,0.00905,1.69063,3.78026,2.84305,0.0960368,3.6832e-05,3.6832e-05
6,18.403,0.68801,2.68398,1.31876,0.00643,1,0.03361,0.01409,1.73365,3.97599,2.99264,0.0950451,4.505e-05,4.505e-05
7,21.419,0.68001,2.59712,1.24997,0.00771,1,0.07285,0.02286,1.87953,4.06244,3.07252,0.0940529,5.2872e-05,5.2872e-05
8,24.397,0.81963,2.40831,1.25815,0.00317,0.66667,0.0691,0.01771,1.8668,4.23768,3.11368,0.0930603,6.0298e-05,6.0298e-05
9,27.315,0.7609,2.44069,1.25232,0.00321,0.66667,0.08055,0.02397,1.78055,4.28752,2.95682,0.0920673,6.7328e-05,6.7328e-05
10,30.511,0.6953,2.32982,1.34364,0.00304,0.66667,0.08543,0.03298,1.52997,4.28708,2.57979,0.091074,7.3962e-05,7.3962e-05
11,33.411,0.7149,2.16197,1.20688,0.00315,0.66667,0.13819,0.06671,1.35223,4.23214,2.51448,0.0900802,8.02e-05,8.02e-05
12,36.301,0.53392,1.96186,1.04313,0.00296,0.66667,0.14925,0.06036,1.47427,4.39063,2.93582,0.089086,8.6042e-05,8.6042e-05
13,39.352,0.58235,2.088,1.05822,0.00301,0.66667,0.10779,0.05489,1.57993,4.41623,3.32838,0.0880915,9.1488e-05,9.1488e-05
14,42.298,0.59346,2.08361,1.11558,0.00294,0.66667,0.10661,0.06045,1.64938,4.51919,3.60147,0.0870965,9.6538e-05,9.6538e-05
15,45.348,0.64871,1.9245,1.10449,0.00293,0.66667,0.12498,0.07397,1.69258,4.5151,3.81266,0.0861012,0.000101192,0.000101192
16,48.207,0.47254,2.03376,1.11316,0.00314,0.66667,0.12635,0.07391,1.69335,4.34815,3.70415,0.0851054,0.00010545,0.00010545
17,51.214,0.5022,2.07673,1.05761,0.00303,0.66667,0.07909,0.04655,1.73907,4.38445,3.76348,0.0841093,0.000109312,0.000109312
18,54.144,0.52447,1.83319,1.04125,0.00303,0.66667,0.07909,0.04655,1.73907,4.38445,3.76348,0.0831128,0.000112778,0.000112778
19,57.079,0.63888,1.99439,1.17077,0.00277,0.66667,0.06581,0.03764,1.76981,4.21703,3.99747,0.0821158,0.000115848,0.000115848
20,60.201,0.54376,2.04104,1.0872,0.00277,0.66667,0.06581,0.03764,1.76981,4.21703,3.99747,0.0811185,0.000118522,0.000118522
21,63.305,0.49583,1.71037,1.00782,0.0022,0.66667,0.08292,0.0416,1.68239,4.26349,3.83181,0.0801208,0.0001208,0.0001208
